종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165752","코스피200 C 202605   752.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165752","코스피200 C 202605   752.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165755","코스피200 C 202605   755.0 (야간)",,,,,,"0.00",,"0","0.0","4"
"B0165755","코스피200 C 202605   755.0 (주간)",,,,,,"0.00",,"0","0.0","4"
"B0165757","코스피200 C 202605   757.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165757","코스피200 C 202605   757.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165760","코스피200 C 202605   760.0 (야간)",,,,,,"0.00",,"0","0.0","24"
"B0165760","코스피200 C 202605   760.0 (주간)",,,,,,"0.00",,"0","0.0","24"
"B0165762","코스피200 C 202605   762.5 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165762","코스피200 C 202605   762.5 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165765","코스피200 C 202605   765.0 (야간)",,,,,,"0.00",,"0","0.0","11"
"B0165765","코스피200 C 202605   765.0 (주간)",,,,,,"0.00",,"0","0.0","11"
"B0165767","코스피200 C 202605   767.5 (야간)",,,,,,"0.00",,"0","0.0","4"
"B0165767","코스피200 C 202605   767.5 (주간)",,,,,,"0.00",,"0","0.0","4"
"B0165770","코스피200 C 202605   770.0 (야간)",,,,,,"0.00",,"0","0.0","255"
"B0165770","코스피200 C 202605   770.0 (주간)",,,,,,"0.00",,"0","0.0","255"
"B0165772","코스피200 C 202605   772.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165772","코스피200 C 202605   772.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165775","코스피200 C 202605   775.0 (야간)",,,,,,"0.00",,"0","0.0","42"
"B0165775","코스피200 C 202605   775.0 (주간)",,,,,,"0.00",,"0","0.0","42"
"B0165777","코스피200 C 202605   777.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165777","코스피200 C 202605   777.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165780","코스피200 C 202605   780.0 (야간)",,,,,,"0.00",,"0","0.0","85"
"B0165780","코스피200 C 202605   780.0 (주간)",,,,,,"0.00",,"0","0.0","85"
