idx,매물ID,상세링크,error
424,41513289,https://fem.encar.com/cars/detail/41513289?advClickPosition=mweb_mhightlight_g174_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
425,41506268,https://fem.encar.com/cars/detail/41506268?advClickPosition=mweb_mhightlight_g175_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
426,41573497,https://fem.encar.com/cars/detail/41573497?advClickPosition=mweb_mhightlight_g176_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
427,41595308,https://fem.encar.com/cars/detail/41595308?advClickPosition=mweb_mhightlight_g177_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
428,41515718,https://fem.encar.com/cars/detail/41515718?advClickPosition=mweb_mhightlight_g178_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
429,41639484,https://fem.encar.com/cars/detail/41639484?advClickPosition=mweb_mhightlight_g179_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
430,41440204,https://fem.encar.com/cars/detail/41440204?advClickPosition=mweb_mhightlight_g180_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
431,41614763,https://fem.encar.com/cars/detail/41614763?advClickPosition=mweb_mhightlight_g181_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
432,41628950,https://fem.encar.com/cars/detail/41628950?advClickPosition=mweb_mhightlight_g182_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
433,41019088,https://fem.encar.com/cars/detail/41019088?advClickPosition=mweb_mhightlight_g183_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
434,41423125,https://fem.encar.com/cars/detail/41423125?advClickPosition=mweb_mhightlight_g184_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
